"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"307",10,0.305333730443619,-0.903044525411738,30.7074126984127,"H",1,"day10"
"308",100,0.3610906246335,-0.77416067258625,30.4353064516129,"H",1,"day10"
"309",13,0.345066868919254,-0.809530740870607,30.1925483870968,"H",2,"day10"
"310",30,0.264082309021237,-1.01037531322279,30.1717741935484,"H",1,"day10"
"311",31,0.461527614885702,-0.577094325450716,30.697,"H",2,"day10"
"312",36,0.246260807866823,-1.06056300791193,30.7737936507936,"H",0,"day10"
"313",39,0.359235349088695,-0.7781924572168,30.0968870967742,"H",2,"day10"
"314",40,0.34561950400339,-0.808289821121855,30.6707301587302,"H",0,"day10"
"315",48,0.412458816691643,-0.668534928873267,30.1744032258065,"H",1,"day10"
"316",61,0.417608198460682,-0.658536696545537,30.3885322580645,"H",0,"day10"
"317",66,0.412095546289949,-0.669244057505271,30.1892419354839,"H",2,"day10"
"318",72,0.236685310044736,-1.08860658297765,30.6264285714286,"H",1,"day10"
"319",79,0.325558709661914,-0.854352362432952,30.669746031746,"H",2,"day10"
"320",8,0.362525188131329,-0.771054262688099,30.2805483870968,"H",0,"day10"
"321",80,0.477063571432817,-0.549802842749501,30.795619047619,"H",1,"day10"
"322",86,0.412431001668712,-0.668589207923443,30.8749682539683,"H",0,"day10"
"323",93,0.242802667941936,-1.07060030949435,30.4519032258065,"H",2,"day10"
"324",95,0.328713152306003,-0.846967226338659,30.5658412698413,"H",0,"day10"
"325",103,0.404334124403348,-0.684516285317156,27.8921147540984,"A",0,"day19"
"327",106,0.279432766980273,-0.96907785994883,27.6532096774194,"A",1,"day19"
"328",15,0.336618393384488,-0.828695707067268,27.5980322580645,"A",0,"day19"
"329",19,0.365438622164072,-0.764775044526512,27.767393442623,"A",0,"day19"
"330",25,0.327598323531037,-0.849571020486647,27.6524193548387,"A",2,"day19"
"331",26,0.304262292493643,-0.905691372839698,27.7062741935484,"A",1,"day19"
"332",41,0.365851084259644,-0.763889257601787,27.7757868852459,"A",0,"day19"
"333",49,0.424963687952365,-0.644426184587597,27.8479344262295,"A",2,"day19"
"335",52,0.426016213606734,-0.642423242372085,27.7011475409836,"A",1,"day19"
"336",57,0.482406973393957,-0.540585808624027,27.8125901639344,"A",0,"day19"
"337",59,0.49211403478001,-0.524056036330614,27.8364426229508,"A",2,"day19"
"338",69,0.540450842154619,-0.445582909763833,27.6776290322581,"A",1,"day19"
"339",85,0.544947092166111,-0.438586993200257,27.7887868852459,"A",1,"day19"
"340",87,0.4474024964046,-0.602570921909888,27.7091451612903,"A",2,"day19"
"341",9,0.323147010590995,-0.860035617546547,27.7567419354839,"A",2,"day19"
"342",90,0.469208081489202,-0.563509214889012,27.5391935483871,"A",0,"day19"
"343",18,0.439491437946866,-0.617128364758603,30.269,"H",0,"day19"
"344",23,0.453772887685215,-0.591000626314026,30.17908,"H",1,"day19"
"345",24,0.418361890460462,-0.657081650418598,30.1340266666667,"H",2,"day19"
"346",3,0.42980271941854,-0.635250569242014,30.2347368421053,"H",1,"day19"
"347",32,0.289639749655569,-0.942532685581464,30.3078070175439,"H",0,"day19"
"348",43,0.391758932111054,-0.709766657951029,30.3201228070175,"H",2,"day19"
"349",46,0.44818185331899,-0.601148197961619,30.0624,"H",1,"day19"
"350",51,0.503043525538357,-0.505765903204272,30.3134933333333,"H",0,"day19"
"351",56,0.519791793779819,-0.478371673826145,30.3166315789474,"H",1,"day19"
